Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_Age_population,SIMD2020v2_Rank,SIMD_2020v2_Percentile,SIMD2020v2_Vigintile,SIMD2020v2_Decile,SIMD2020v2_Quintile,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,income_rate,income_count,employment_rate,employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,crime_count,crime_rate,overcrowded_count,nocentralheating_count,overcrowded_rate,nocentralheating_rate,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,broadband
S01008417,Balerno and Bonnington Village,City of Edinburgh,708,397,5537,80,16,8,4,5218.5,5564,6653,6691,853,5392,6350,5%,32,3%,13,35,10,0,26,14%,7%,56,92%,6.14,28,0%,30%,6,86,17,8,2%,1%,3.14797865,7.470991736,3.60297865,5.257357955,3.52297865,4.135769231,22.37331612,16.20544077,16.55205579,15%
S01008418,Balerno and Bonnington Village,City of Edinburgh,691,378,6119,88,18,9,5,6236.5,6386.5,6440,6733,988,5063,6650,2%,17,2%,8,30,57,50,38,12%,4%,72,94%,6.30,24,0%,13%,7,103,7,10,1%,1%,3.582608382,7.658157514,4.036864162,3.559742647,3.956524566,4.767979798,17.63304913,12.75444725,13.1001987,7%
S01008419,Balerno and Bonnington Village,City of Edinburgh,541,338,5200,75,15,8,4,4861,4315,5417,6907,2204,3594,5372.5,5%,29,6%,19,60,57,0,100,11%,0%,72,*,6.60,34,0%,25%,10,187,30,0,6%,0%,2.43612381,6.391604762,2.890733333,3.023231293,2.810733333,3.161975806,18.66512381,13.40194286,13.74998095,0%
S01008420,Balerno and Bonnington Village,City of Edinburgh,466,274,6431,93,19,10,5,6298,5980,5913,6262,2702,4957,6957,2%,11,3%,8,35,8,37,80,15%,0%,97,*,5.62,30,0%,13%,5,109,2,0,0%,0%,2.318151261,6.596964286,3.007095588,2.155457746,2.926565126,3.369637681,16.61466387,10.83966387,11.18752101,0%
S01008421,Balerno and Bonnington Village,City of Edinburgh,884,537,3441,50,10,5,3,3330.5,2861,2866,3907,4721,2575,4598,10%,91,10%,51,105,99,65,94,21%,7%,103,88%,5.17,88,2%,11%,23,264,61,6,7%,1%,1.305804196,6.02037296,2.037905012,2.588222656,1.959213287,2.917301587,16.15854895,6.965932401,7.310675991,0%
S01008422,Balerno and Bonnington Village,City of Edinburgh,617,316,6918,100,20,10,5,6833,6647.5,6334,6938,3823,5148,6377,1%,7,2%,5,35,24,0,58,14%,8%,71,*,6.38,11,0%,19%,6,99,17,4,3%,1%,1.806163446,6.124601449,2.259412238,4.779548193,2.18007649,2.9974,14.34369565,7.591481481,7.93826087,0%
S01008423,Balerno and Bonnington Village,City of Edinburgh,1088,685,6328,91,19,10,5,6843,6575,6437,6514,952,5862,6558,1%,12,2%,13,35,33,31,53,11%,0%,66,94%,5.78,31,1%,24%,7,65,27,3,3%,0%,3.761053622,5.507297742,3.568699436,5.68484127,4.213017404,4.060981308,16.24330903,13.14439323,16.69174036,13%
S01008424,Balerno and Bonnington Village,City of Edinburgh,836,417,6221,90,18,9,5,6275.5,5600,6711,6242,1629,6653,6859,2%,20,3%,14,30,13,0,55,14%,0%,55,93%,5.48,26,1%,20%,*,*,9,3,1%,0%,3.590988024,3.758769461,3.719790419,5.17,3.98494012,3.641756757,12.97627545,10.67496407,13.66187425,1%
S01008425,Currie West,City of Edinburgh,3847,3423,6483,93,19,10,5,6961,6951,6955,5606,1128,6161,6126,1%,20,1%,20,15,58,4,63,7%,0%,43,92%,5.76,39,1%,6%,19,50,31,8,3%,1%,4.609474645,3.408249493,4.477314402,3.339361702,5.874682556,4.677061856,9.390756592,13.44433063,20.61633367,19%
S01008426,Currie West,City of Edinburgh,599,333,4087,59,12,6,3,4081,3486,3077,3332,4990,4782,4290,8%,45,8%,25,95,85,56,102,21%,7%,99,87%,5.25,105,5%,11%,7,118,43,6,8%,1%,3.831361257,1.572975567,2.501849913,2.315939227,6.035658813,2.32040404,5.71469459,7.372591623,16.22200698,0%
